[2025-09-28 14:25:04] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:41:31] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56061, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56061 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56063, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56063 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56062, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56062 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.114.26:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 20.205.243.168:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[2025-09-28 15:41:36] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56061, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56061 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56063, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56063 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56062, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56062 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.114.26:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 20.205.243.168:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 140.82.114.22:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[2025-09-28 15:41:45] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56061, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56061 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56063, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56063 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56062, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56062 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.114.26:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 20.205.243.168:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 140.82.114.22:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[2025-09-28 15:41:50] WLAN 2: Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56061, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56061 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56063, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56063 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56062, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56062 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.114.26:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 20.205.243.168:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 140.82.114.22:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[2025-09-28 15:41:55] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
